# users: Sarah Needham
# sample descripton: CHO_WTEGFR_2nMEGF_topup
# comment: 
folder,track id,Im,Id,It,Itet,Ibl,Ibr,frame start,frame stop,mean,sigma,SEM
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160121_0001_0021_fc0e0195-6e29-415f-bd02-87380b3cdd96,8,x,,,,,,83,122,,,,2,450
,,,x,,,,,26,66,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160121_0001_0021_fc0e0195-6e29-415f-bd02-87380b3cdd96,13,x,,,,,,48,87,,,,2,450
,,,x,,,,,22,42,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160121_0001_0021_fc0e0195-6e29-415f-bd02-87380b3cdd96,51,x,,,,,,284,295,,,,2,450
,,x,,,,,,278,282,,,
,,x,,,,,,263,269,,,
,,x,,,,,,223,250,,,
,,x,,,,,,254,257,,,
,,,x,,,,,173,192,,,
,,,x,,,,,128,147,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160121_0001_0021_fc0e0195-6e29-415f-bd02-87380b3cdd96,85,x,,,,,,447,450,,,,2,450
,,,x,,,,,410,431,,,
,,,x,,,,,402,408,,,
,,,x,,,,,393,400,,,
,,,x,,,,,365,386,,,
,,,x,,,,,388,391,,,
,,,x,,,,,360,363,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160121_0001_0021_fc0e0195-6e29-415f-bd02-87380b3cdd96,223,x,,,,,,123,143,,,,2,450
,,x,,,,,,101,120,,,
,,x,,,,,,67,98,,,
,,x,,,,,,53,62,,,
,,,x,,,,,15,34,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160121_0001_0021_fc0e0195-6e29-415f-bd02-87380b3cdd96,236,x,,,,,,83,93,,,,2,450
,,x,,,,,,95,98,,,
,,x,,,,,,107,112,,,
,,x,,,,,,115,130,,,
,,,x,,,,,42,72,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160121_0001_0021_fc0e0195-6e29-415f-bd02-87380b3cdd96,630,x,,,,,,60,132,,,,3,450
,,,x,,,,,30,50,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160121_0001_0021_fc0e0195-6e29-415f-bd02-87380b3cdd96,660,x,,,,,,442,450,,,,2,450
,,x,,,,,,358,441,,,
,,,x,,,,,229,271,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160121_0001_0021_fc0e0195-6e29-415f-bd02-87380b3cdd96,1179,x,,,,,,73,98,,,,2,450
,,,x,,,,,38,51,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160121_0001_0021_fc0e0195-6e29-415f-bd02-87380b3cdd96,1646,x,,,,,,57,60,,,,2,450
,,x,,,,,,68,85,,,
,,x,,,,,,95,109,,,
,,x,,,,,,118,122,,,
,,x,,,,,,124,127,,,
,,x,,,,,,146,152,,,
,,x,,,,,,169,173,,,
,,x,,,,,,178,182,,,
,,x,,,,,,184,189,,,
,,x,,,,,,195,203,,,
,,x,,,,,,220,224,,,
,,x,,,,,,226,231,,,
,,x,,,,,,243,249,,,
,,x,,,,,,251,263,,,
,,x,,,,,,265,269,,,
,,x,,,,,,271,274,,,
,,,x,,,,,16,21,,,
,,,x,,,,,23,28,,,
,,,x,,,,,40,44,,,
,,,x,,,,,46,49,,,
,,,x,,,,,51,55,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160121_0001_0021_fc0e0195-6e29-415f-bd02-87380b3cdd96,4302,x,,,,,,122,135,,,,2,450
,,,x,,,,,137,142,,,
,,,x,,,,,144,153,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160121_0001_0021_fc0e0195-6e29-415f-bd02-87380b3cdd96,6532,x,,,,,,429,439,,,,2,450
,,x,,,,,,418,425,,,
,,,x,,,,,343,408,,,
